,State_Name,State_ab,Lat,Lon,Mean,Median,Stdev,easting,northing,zone_number,zone_letter
18870,New York,NY,40.675844,-73.436615,109322,96675,70892,632127.6245177479,4503948.760259244,18,T
18871,New York,NY,43.11221,-77.487176,55308,46808,43831,297639.38792584155,4776278.371948009,18,T
18873,New York,NY,41.054128999999996,-73.814401,97557,86468,58902,599630.0643655228,4545442.977004352,18,T
18874,New York,NY,43.099465,-77.443069,78131,300000,52336,301186.88409222616,4774757.357896107,18,T
18875,New York,NY,40.637142,-73.203324,105935,103487,66101,651932.6619621341,4500029.339659603,18,T
18876,New York,NY,42.953384,-74.372869,53996,39436,46500,551155.1143100844,4755828.95892259,18,T
18877,New York,NY,40.903614000000005,-73.302468,136044,117352,84548,642975.8369728108,4529444.458890805,18,T
18879,New York,NY,40.712115000000004,-73.660449,118794,104838,78105,613148.6018138498,4507662.712983065,18,T
18880,New York,NY,42.46933,-75.322609,61087,38816,59847,473479.5028100864,4701937.948599294,18,T
18881,New York,NY,43.049244,-74.345815,44894,33838,39540,553279.0199626473,4766490.915735267,18,T
18882,New York,NY,43.413407,-73.264393,48424,37284,41510,640515.574213071,4808187.49442835,18,T
18883,New York,NY,40.864095,-73.363427,102766,86065,74841,637923.3596847377,4524959.45600636,18,T
18884,New York,NY,42.663379,-77.76666999999999,49589,45917,37799,273258.8502691131,4727146.153563802,18,T
18885,New York,NY,44.446385,-75.693499,42022,35271,35731,444817.8617885966,4921687.641449187,18,T
18887,New York,NY,40.897658,-73.161536,140932,138770,83016,654860.3967895732,4529023.172895731,18,T
18888,New York,NY,40.641996,-73.694393,118530,106580,71170,610396.9875308808,4499835.790056475,18,T
18889,New York,NY,41.91905,-74.033686,119931,93481,74414,580129.5903273423,4641239.951985608,18,T
18890,New York,NY,42.790135,-77.51479300000001,52816,300000,31297,294321.9395914859,4740577.36178428,18,T
18891,New York,NY,43.304735,-73.581587,48489,41184,40339,615040.2353550149,4795632.775733921,18,T
18892,New York,NY,40.621346,-73.75699,61577,48669,49455,605136.289975446,4497466.818632532,18,T
18894,New York,NY,44.504740000000005,-73.48209399999999,43523,29368,36824,620660.6018558452,4929056.176678956,18,T
18895,New York,NY,41.930124,-73.996782,54385,39767,48129,583175.4259629424,4642504.632553026,18,T
18896,New York,NY,41.985217999999996,-73.98975899999999,54304,29971,55971,583685.5813805894,4648628.550964841,18,T
18898,New York,NY,42.978006,-77.990874,58405,41470,51411,256123.8769565663,4762713.755003944,18,T
18899,New York,NY,40.685751,-73.37159399999999,94240,83659,62758,637602.6378961126,4505148.329399241,18,T
18900,New York,NY,41.775216,-74.65965,53197,57826,30637,528285.9789420845,4624875.175582195,18,T
18901,New York,NY,43.082032,-76.12626800000001,50803,44806,37789,408321.5637840609,4770539.885093787,18,T
18902,New York,NY,41.367090999999995,-73.741535,107540,92752,75217,605250.5298277922,4580272.912949935,18,T
18903,New York,NY,43.717814000000004,-76.066815,72313,68424,40848,414064.4913942163,4841084.783453814,18,T
18904,New York,NY,40.680909,-73.449689,117792,110826,71541,631012.730750661,4504491.449027047,18,T
18905,New York,NY,41.450288,-74.389639,66288,50195,53599,550981.4790266633,4588925.022178009,18,T
18906,New York,NY,43.465218,-76.232574,65725,53720,52306,400295.77496757417,4813216.379222399,18,T
18907,New York,NY,40.882186,-73.558941,146605,146522,83795,621412.6751137014,4526678.162972506,18,T
18908,New York,NY,41.109477000000005,-74.076972,54476,33851,53913,577499.9414182234,4551320.631566513,18,T
18909,New York,NY,42.548118,-75.245292,50009,38752,39457,479860.7603167839,4710665.207489368,18,T
18910,New York,NY,42.976549,-75.58652099999999,61026,47774,47786,452175.4027360899,4758377.479688645,18,T
18911,New York,NY,42.513963000000004,-73.61075,69415,64438,41634,614124.888606887,4707778.599604053,18,T
18912,New York,NY,40.760048,-73.564891,85405,72146,65673,621133.4073188333,4513111.244075312,18,T
18913,New York,NY,41.141028000000006,-74.029368,30711,22682,28621,581457.9240944921,4554866.670136762,18,T
18914,New York,NY,42.020016999999996,-76.370402,62956,56516,48893,386540.9974872833,4652907.052423154,18,T
18915,New York,NY,40.690346000000005,-73.539016,115155,108348,69598,623446.2648516956,4505409.698410576,18,T
18916,New York,NY,42.345537,-77.66065400000001,72999,58420,51838,280839.6481093415,4691570.936874274,18,T
18917,New York,NY,43.133853,-76.130571,53629,43505,41945,408048.90650504426,4776299.416468636,18,T
18918,New York,NY,40.978706,-72.34601500000001,102377,78890,74382,723287.344467374,4539785.844908686,18,T
18920,New York,NY,43.217634999999994,-77.27933399999999,47392,28001,46716,314869.17836167244,4787505.564973309,18,T
18921,New York,NY,41.471438,-74.539709,92142,81360,62864,538434.0883788909,4591195.541197741,18,T
18922,New York,NY,43.060864,-77.22971899999999,50475,37696,40058,318435.58952201984,4769986.467777935,18,T
18923,New York,NY,41.366952000000005,-73.576503,137645,300000,67056,619053.4221371675,4580471.014271436,18,T
18924,New York,NY,44.579326,-73.533292,86059,71214,62372,616441.983699602,4937266.79596083,18,T
18925,New York,NY,41.609545000000004,-74.296524,54849,36700,52580,558615.182652847,4606664.889449495,18,T
18926,New York,NY,41.619788,-74.058596,50805,32502,48147,578427.6490432357,4607991.083454889,18,T
18927,New York,NY,40.953044,-73.090877,142471,124917,77971,660678.3076260677,4535299.445911227,18,T
18928,New York,NY,43.5854,-75.341412,42318,30454,35912,472437.7012515575,4825882.425057244,18,T
18929,New York,NY,43.302212,-75.152526,68429,300000,44590,487628.95954390033,4794387.107836695,18,T
18930,New York,NY,43.247903,-76.722852,49906,34592,43485,360137.7185724648,4789785.566595745,18,T
18931,New York,NY,41.928804,-73.91028399999999,69076,46708,64718,590348.8095731223,4642445.608999682,18,T
18932,New York,NY,42.156032,-77.079167,50541,44451,38909,328225.82606696803,4669192.778011805,18,T
18933,New York,NY,40.679421999999995,-73.583372,79243,67534,55260,619717.8236915559,4504135.664908617,18,T
18935,New York,NY,40.996564,-72.28964599999999,116759,104216,74675,727968.7611699668,4541914.272210514,18,T
18936,New York,NY,41.807801,-73.788022,118676,131880,70620,600675.4605907939,4629146.832958321,18,T
18937,New York,NY,43.06671,-76.75954300000001,51154,38988,37227,356736.24414405006,4769725.250834706,18,T
18938,New York,NY,42.173212,-77.979508,66943,60110,41180,253903.44298486869,4673306.070917283,18,T
18939,New York,NY,42.910072,-76.798114,58744,46673,47969,353223.3350336298,4752396.88874747,18,T
18940,New York,NY,40.889409,-72.455563,101088,71725,81232,714358.5356921785,4529597.342470787,18,T
18941,New York,NY,42.947282,-76.428488,102162,80010,78964,383465.91874829074,4755950.449299999,18,T
18942,New York,NY,43.057292,-76.212452,55059,42445,44145,401266.39174192824,4767890.286019875,18,T
18943,New York,NY,40.681340000000006,-73.623334,120592,119291,67767,616337.2390874085,4504294.90691124,18,T
18944,New York,NY,41.028908,-73.933288,108148,103064,67953,589673.6314169059,4542514.133128533,18,T
18945,New York,NY,42.074123,-77.91228199999999,58754,35470,56703,259081.08869413048,4662110.7915241495,18,T
18946,New York,NY,41.111983,-74.141382,91586,79825,64965,572089.1034770849,4551543.5413032705,18,T
18947,New York,NY,40.90905,-73.049144,103109,95647,64000,664299.8835281455,4530492.928325025,18,T
18948,New York,NY,41.665846,-73.86747700000001,90594,98913,46507,594282.6821409368,4613296.067331144,18,T
18949,New York,NY,42.797952,-76.110106,59080,46539,46037,409220.7321826301,4738975.640218733,18,T
